Title,Abstract,URL
When ‘A Little Touch of Star Quality’ Is a Little Too Much,"In upcoming musical revivals, world leaders both real (Imelda Marcos, Eva Perón) and folkloric (King Arthur) get an image makeover they may not deserve.",https://www.nytimes.com/2023/02/21/theater/broadway-musicals-camelot-sweeney-todd-here-lies-love.html
The Fast and the Curious at Formula 1’s Miami Grand Prix,"Last summer, diehards and newbies sweated it out in the hot sun for a brief glimpse of pure speed",https://www.nytimes.com/interactive/2023/02/21/arts/television/f1-grand-prix-miami.html
"Gustavo Dudamel, Superstar Maestro, Meets New York","On his first visit to the city since being named the New York Philharmonic’s next music director, he eagerly played the role of celebrity conductor.",https://www.nytimes.com/2023/02/21/arts/music/gustavo-dudamel-press-conference-new-york.html
Iris DeMent Is Worried About the World. So She Made Another Album.,"The singer and songwriter, 62, takes her time between releases, making sure she has something to say in her music. She has found inspiration once again.",https://www.nytimes.com/2023/02/21/arts/music/iris-dement-workin-on-a-world.html
"Looted Artifacts, Returned to Yemen, Will Go to the Smithsonian, for Now","Under an agreement, ownership of 77 objects seized from a New York art dealer reverted to Yemen. They will be returned when the violent conflict there subsides.",https://www.nytimes.com/2023/02/21/arts/design/yemen-looted-artifacts-smithsonian.html
Chase Stokes Turned Down ‘Outer Banks.’ He’s Glad He Reconsidered.,"The actor plays John B. in the hit Netflix drama, which returns for its third season on Thursday.",https://www.nytimes.com/2023/02/21/arts/television/chase-stokes-outer-banks-netflix.html
"Review: In ‘Leo Reich: Literally Who Cares?!,’ He’s Too Hot to Live","Reich, a comedian and writer, transforms into the avatar of Gen Z disaffection in his taut, biting solo show at Greenwich House Theater.",https://www.nytimes.com/2023/02/21/theater/review-leo-reich-literally-who-cares.html
Joan Mitchell Foundation Claims Vuitton Ads Infringe on Painter’s Copyright,"The artist’s organization said it rejected requests from the fashion company to use the artworks in handbag ads, but the luxury brand used them anyway.",https://www.nytimes.com/2023/02/21/arts/design/joan-mitchell-vuitton-ads-copyright-handbag.html
"SZA Makes It Nine Weeks at No. 1, and Rihanna Returns to Top 10",“SOS” is now the longest-running No. 1 album by a woman since Adele’s “25” seven years ago.,https://www.nytimes.com/2023/02/21/arts/music/sza-nine-weeks-no-1.html
What ‘Puss in Boots: The Last Wish’ Owes to Samurai and Sergio Leone,"The DreamWorks sequel has garnered praise for its vibrant animation, darker story and fight sequences inspired by classic films.",https://www.nytimes.com/2023/02/22/arts/puss-in-boots-the-last-wish-visual-influences.html
Live Performance in New York: Here’s What to See This Spring,"“Life of Pi” and Laura Linney on Broadway, Lise Davidsen at the Met Opera, SZA on tour: Here’s what we’re looking forward to this season.",https://www.nytimes.com/2023/02/22/theater/live-performances-nyc-spring.html
Joshua Bell’s London,"The celebrated violinist recommends five spots in Britain’s capital, a city he’s visited some 70 times since the 1980s.",https://www.nytimes.com/2023/02/22/travel/london-joshua-bell-recommendations.html
Jessica Chastain Returns to the Stage With Nothing to Prove,"In a pared-down Broadway revival of “A Doll’s House,” the Oscar-winning actress doesn’t have props, period costumes or much of a set. To her surprise, she likes it.",https://www.nytimes.com/2023/02/22/theater/jessica-chastain-dolls-house-broadway.html
Welcome to New York. Show Us Your Mahler Ninth.,"This spring, Gustavo Dudamel, the Philharmonic’s next music director, conducts the big deal symphony, the Met Opera stages Terence Blanchard’s “Champion”; and in Chicago, Riccardo Muti says farewell.",https://www.nytimes.com/2023/02/22/arts/music/classical-music-gustavo-dudamel-mahler-9.html
Review: Rude T-Shirts and Rude Awakenings in ‘A Bright New Boise’,An early play by Samuel D. Hunter finds the author developing his voice by lending it to the lost souls working at an Idaho Hobby Lobby.,https://www.nytimes.com/2023/02/21/theater/a-bright-new-boise-review.html
"Barbara Bosson, 83, Dies; Brought Family Drama to ‘Hill Street Blues’","She received five consecutive Emmy nominations for her role as Fay Furillo, the frenetic ex-wife of a police precinct captain.",https://www.nytimes.com/2023/02/21/arts/television/barbara-bosson-dead.html
"Adrian Hall, Who Invigorated Regional Theater, Dies at 95","As founding artistic director, he made Trinity Rep in Rhode Island a leader in theatrical innovation. He then made his mark in Dallas as well.",https://www.nytimes.com/2023/02/21/theater/adrian-hall-dead.html
‘The First Fallen’ Review: A Remembrance of Those Passed,A director crafts an elegiac tribute set during the dawn of the AIDS crisis in Brazil.,https://www.nytimes.com/2023/02/21/movies/the-first-fallen-review.html
Unionized HarperCollins Employees Are Back to Work After a 3-Month Strike,"The return, after an agreement that brought a raise in pay for the lowest earners at the publisher, represented a victory to many of the more than 250 workers involved.",https://www.nytimes.com/2023/02/21/books/harpercollins-strike-ends.html
We Regret the Fossil Error. It Wasn’t the First.,A recent announcement that a fossil discovery in India was just residue from a bee’s nest was a reminder of the importance of science correcting itself.,https://www.nytimes.com/2023/02/21/science/false-fossils-india-dickinsonia.html
"Laurie Metcalf to Return to Broadway in a Horror Story, ‘Grey House’","The play, directed by Joe Mantello and also starring Tatiana Maslany, had a well-reviewed debut in Chicago. It begins performances in April.",https://www.nytimes.com/2023/02/21/theater/grey-house-broadway.html
"‘Naatu Naatu’ From ‘RRR’ Is a Worldwide Hit, but It Draws on Very Local Traditions",The composers and choreographer explain how they created the propulsive sequence that is nominated for best song.,https://www.nytimes.com/2023/02/21/movies/rrr-song-naatu-naatu.html
An Unlikely College Bromance That Has Lasted a Lifetime,"In his new memoir, Will Schwalbe — theater nerd and bookworm — describes the bond he continues to share with a former Navy SEAL turned eco-warrior.",https://www.nytimes.com/2023/02/21/books/review-will-schwalbe-we-should-not-be-friends.html
"Cocaine Bear, Meet Cannabis Raccoon and McFlurry Skunk","Wild animals eat the strangest things. That can be a problem, for them and for us.",https://www.nytimes.com/2023/02/21/science/animals-wildlife-drugs.html
"Huey ‘Piano’ Smith, New Orleans Rock ’n’ Roll Cornerstone, Dies at 89","With songs like “Don’t You Just Know It,” “Rocking Pneumonia and the Boogie Woogie Flu” and “Sea Cruise,” he put a firm backbeat behind joyful nonsense.",https://www.nytimes.com/2023/02/20/arts/music/huey-piano-smith-dead.html
"Christian McBride, Revered in Jazz, Is Playing the Long Game","At 50, the bassist is always focused on the next gig and fresh collaborations. His 18th album as a band leader is due this month.",https://www.nytimes.com/2023/02/20/arts/music/christian-mcbride.html
Review: A New Opera Puts Real Emotions in a Fantasy Garden,"Kate Soper’s “The Romance of the Rose,” which had its long-delayed premiere at Long Beach Opera, showcases her signature quick-shifting eclecticism.",https://www.nytimes.com/2023/02/20/arts/music/kate-soper-romance-rose-opera-review.html
Richard Belzer Had a Ball With the Relationship Between Comic and Crowd,"Unlike his TV characters, his live shows were marked by spontaneity and physicality. He could even keep up with Robin Williams line by line.",https://www.nytimes.com/2023/02/20/arts/television/richard-belzer.html
‘Rust’ Prosecutors Downgrade Alec Baldwin’s Manslaughter Charges,The actor’s lawyers had argued that a firearm law included by the prosecutors was not in effect at the time of the fatal shooting. It would have carried a mandatory five-year sentence.,https://www.nytimes.com/2023/02/20/arts/alec-baldwin-manslaughter-charge-rust.html
Roald Dahl’s Books Are Rewritten to Cut Potentially Offensive Language,"New editions of the best-selling author’s children’s classics, including “Charlie and the Chocolate Factory,” have been altered to eliminate words deemed inappropriate. A backlash ensued.",https://www.nytimes.com/2023/02/20/books/roald-dahl-books-changes.html
An Artist’s Queer Take on ‘Moby-Dick’,"Wu Tsang has mined Herman Melville’s classic novel to create ambitious, provocative spectacles.",https://www.nytimes.com/2023/02/20/arts/wu-tsang-moby-dick.html
"‘Black Bear,’ ‘Sharp Stick’ and More Streaming Gems",Looking for something different to stream? We have options for you.,https://www.nytimes.com/2023/02/20/movies/black-bear-sharp-stick-and-more-streaming-gems.html
Review: ‘Die Monosau’ Revives Chaotic Energy in Berlin,Chaos also plays a role in a new play at the Volksbühne theater that delivers on its pledge of a director-free evening.,https://www.nytimes.com/2023/02/20/theater/die-monosau-review-volksbuehne.html
Cambodia Says It Has Recovered Looted Gold Jewelry Once Worn by Royals,"The 77 items had been in the collection of Douglas A.J. Latchford, accused of trafficking in looted antiquities, and were returned under an agreement with his estate.",https://www.nytimes.com/2023/02/20/arts/cambodia-gold-jewelry-royals-latchford.html
